,id_student,551010,551011,551012,551013,551020,551023,551024,551026,551027,551029,551031,551032,551033,551040,551045,551048,551049,551050,551051,551053,551054,551056,551059,551060,551061,551063,551064,551065,551066,551067,551068,551070,551071,551079,551122,551123,551126,551127,551129,551130,551131,551133,551135,551136,551142,551148,551149,551150,551151,551152,551154,551155,551158,551160,551161,551162,551163,551166,551167,551168,551170,551171,551172,551173,551175,551177,final_result
0,26915,7.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Fail
1,35355,36.0,31.0,25.0,19.0,0.0,0.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,4.0,8.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,Pass
2,40508,3.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Withdrawn
3,42638,53.0,51.0,50.0,56.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,1.0,10.0,6.0,31.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,8.0,8.0,3.0,7.0,10.0,10.0,0.0,0.0,7.0,10.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,22.0,0.0,0.0,3.0,0.0,5.0,0.0,18.0,11.0,1.0,4.0,Pass
4,43564,47.0,16.0,18.0,8.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,13.0,1.0,9.0,9.0,6.0,0.0,0.0,4.0,8.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,14.0,0.0,3.0,Pass
5,54062,21.0,4.0,4.0,3.0,0.0,0.0,13.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,7.0,4.0,3.0,2.0,6.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,Distinction
6,63112,42.0,30.0,47.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,13.0,8.0,8.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,10.0,1.0,3.0,Pass
7,66713,36.0,27.0,23.0,6.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,9.0,10.0,5.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,Pass
8,70214,52.0,26.0,45.0,9.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,6.0,9.0,2.0,8.0,6.0,5.0,0.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,32.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,5.0,0.0,5.0,Pass
